Show X Axis Title,,,,,,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES
Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines To Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Format 1,Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start of Data,X-axis,X-axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-09-17 16:33,2019-09-17-12.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_RAIN_BARREL1_2/2,Benzene,2.52,1.81,ppb,170963.608,Area,Toluene,3.63,0.21,ppb,17339.164,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.76,0.18,ppb,21191.77,Area,o-Xylene,6.33,0.1,ppb,11812.218,Area
,2019-09-17 17:02,2019-09-17-13.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,3.62,0.14,ppb,10665.436,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.75,0.14,ppb,11844.88,Area,o-Xylene,6.34,0.06,ppb,7552.628,Area
,2019-09-17 17:30,2019-09-17-14.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_CONTROL_2/2,Benzene,2.58,1.18,ppb,111745.344,Area,Toluene,3.65,1.48,ppb,149343.781,Area,Ethylbenzene,5.6,0.12,ppb,9856.138,Area,"(m,p)Xylene",5.78,0.38,ppb,71299.602,Area,o-Xylene,6.37,0.23,ppb,29404.441,Area
,2019-09-17 18:00,2019-09-17-15.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.6,0.08,ppb,7605.579,Area,Toluene,3.71,0.14,ppb,10423.659,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.77,0.13,ppb,10752.793,Area,o-Xylene,6.36,0.08,ppb,9192.184,Area
,2019-09-17 18:00,2019-09-17-15.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.6,0.08,ppb,7605.579,Area,Toluene,3.71,0.14,ppb,10423.659,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.77,0.13,ppb,10752.793,Area,o-Xylene,6.36,0.08,ppb,9192.184,Area
,2019-09-17 18:26,2019-09-17-16.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day6_CC2_2/2,Benzene,2.54,3.57,ppb,337651.902,Area,Toluene,3.55,0.57,ppb,54548.287,Area,Ethylbenzene,5.58,0.12,ppb,10393.118,Area,"(m,p)Xylene",5.77,0.28,ppb,46336.533,Area,o-Xylene,6.36,0.22,ppb,27266.457,Area
,2019-09-17 19:08,2019-09-17-17.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,3.66,0.16,ppb,13037.917,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.75,0.15,ppb,15054.214,Area,o-Xylene,6.36,0.13,ppb,16408.352,Area
,2019-09-17 19:34,2019-09-17-18.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day6_DB1_2/2,Benzene,2.57,4.25,ppb,402892.218,Area,Toluene,3.53,0.43,ppb,40666.056,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.8,0.36,ppb,68009.681,Area,o-Xylene,6.37,0.18,ppb,22663.236,Area
,2019-09-17 20:04,2019-09-17-19.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.74,0.14,ppb,12466.668,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-17 20:32,2019-09-17-20.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day6_DB2_2/2,Benzene,2.53,4.96,ppb,470169.407,Area,Toluene,3.52,0.38,ppb,35510.074,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.78,0.36,ppb,66582.881,Area,o-Xylene,6.35,0.14,ppb,17651.352,Area
,2019-09-17 21:02,2019-09-17-21.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.78,0.14,ppb,13138.64,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-17 21:29,2019-09-17-22.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_CC1_2/2,Benzene,2.57,619.46,ppb,58668071.99,Area,Toluene,3.63,73.46,ppb,7580460.528,Area,Ethylbenzene,5.6,1.34,ppb,163681.116,Area,"(m,p)Xylene",5.78,2.16,ppb,519680.832,Area,o-Xylene,6.36,0.75,ppb,96471.741,Area
,2019-09-17 21:58,2019-09-17-23.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.3,ppb,27999.777,Area,Toluene,3.66,0.17,ppb,13631.463,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.78,0.15,ppb,14031.409,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-17 22:27,2019-09-17-24.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_CC2_2/2,Benzene,2.53,8.38,ppb,793778.923,Area,Toluene,3.6,0.52,ppb,49453.259,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.77,1.12,ppb,257712.233,Area,o-Xylene,6.35,0.29,ppb,36240.375,Area
,2019-09-17 22:57,2019-09-17-25.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.57,0.07,ppb,6946.82,Area,Toluene,3.65,0.14,ppb,10171.892,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.76,0.13,ppb,9680.568,Area,o-Xylene,6.3,0.11,ppb,13782.817,Area
,2019-09-17 23:27,2019-09-17-26.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_DB1_2/2,Benzene,2.57,1595.13,ppb,151072484.9,Area,Toluene,3.62,360.79,ppb,37246523.35,Area,Ethylbenzene,5.59,2.58,ppb,320786.894,Area,"(m,p)Xylene",5.77,5.21,ppb,1287988.079,Area,o-Xylene,6.36,2.1,ppb,270160.307,Area
,2019-09-17 23:56,2019-09-17-27.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk_8min_bake,Benzene,2.57,0.79,ppb,74915.884,Area,Toluene,3.65,0.3,ppb,27439.626,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.77,0.16,ppb,16390.277,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-18 00:26,2019-09-17-28.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk_8min_bake,Benzene,2.57,0.19,ppb,18265.424,Area,Toluene,3.65,0.18,ppb,15016.795,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.76,0.12,ppb,5792.699,Area,o-Xylene,6.35,0.04,ppb,4374.008,Area
,2019-09-18 01:25,2019-09-17-30.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.09,ppb,8760.03,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
